id_venta,ciudad,tienda,categoria,producto,cantidad,precio_unitario
1,Cali,Tienda Occidente,Deportes,Caminadora,17,3200000
2,Cartagena,Tienda Norte,Deportes,Guantes,19,65000
3,Cartagena,Tienda Sur,Hogar,Cafetera,20,120000
4,Medellín,Tienda Centro,Hogar,Microondas,1,450000
5,Medellín,Tienda Norte,Hogar,Ventilador,12,250000
6,Cartagena,Tienda Sur,Hogar,Ventilador,14,250000
7,Bogotá,Tienda Premium,Deportes,Caminadora,11,3200000
8,Cartagena,Tienda Occidente,Deportes,Balón,12,90000
9,Bogotá,Tienda Premium,Deportes,Caminadora,20,3200000
10,Cartagena,Tienda Occidente,Hogar,Ventilador,7,250000
11,Cartagena,Tienda Premium,Hogar,Nevera,20,2200000
12,Barranquilla,Tienda Premium,Tecnología,Portatil,7,2500000
13,Barranquilla,Tienda Sur,Hogar,Cafetera,13,120000
14,Cartagena,Tienda Occidente,Deportes,Guantes,10,65000
15,Medellín,Tienda Premium,Tecnología,Monitor,19,750000
16,Cartagena,Tienda Sur,Deportes,Bicicleta,14,1800000
17,Bogotá,Tienda Occidente,Hogar,Cafetera,11,120000
18,Cali,Tienda Occidente,Hogar,Ventilador,1,250000
19,Barranquilla,Tienda Occidente,Tecnología,Teclado,15,85000
20,Barranquilla,Tienda Norte,Deportes,Bicicleta,17,1800000
21,Barranquilla,Tienda Norte,Hogar,Microondas,8,450000
22,Cali,Tienda Norte,Deportes,Caminadora,18,3200000
23,Cali,Tienda Centro,Tecnología,Teclado,7,85000
24,Bogotá,Tienda Norte,Deportes,Guantes,12,65000
25,Cali,Tienda Premium,Deportes,Pesas,8,250000
26,Cali,Tienda Premium,Tecnología,Impresora,14,600000
27,Cali,Tienda Norte,Deportes,Pesas,5,250000
28,Cali,Tienda Sur,Hogar,Licuadora,8,180000
29,Cartagena,Tienda Norte,Hogar,Licuadora,15,180000
30,Medellín,Tienda Centro,Hogar,Microondas,12,450000
31,Barranquilla,Tienda Occidente,Deportes,Bicicleta,14,1800000
32,Cartagena,Tienda Sur,Tecnología,Mouse,8,45000
33,Cartagena,Tienda Occidente,Hogar,Cafetera,10,120000
34,Cali,Tienda Premium,Tecnología,Portatil,15,2500000
35,Cartagena,Tienda Norte,Tecnología,Monitor,2,750000
36,Bogotá,Tienda Sur,Hogar,Nevera,17,2200000
37,Cartagena,Tienda Sur,Deportes,Bicicleta,9,1800000
38,Cartagena,Tienda Norte,Tecnología,Portatil,12,2500000
39,Cali,Tienda Occidente,Deportes,Balón,7,90000
40,Bogotá,Tienda Norte,Tecnología,Portatil,13,2500000
41,Cartagena,Tienda Occidente,Tecnología,Portatil,17,2500000
42,Cartagena,Tienda Centro,Deportes,Caminadora,5,3200000
43,Cartagena,Tienda Sur,Hogar,Licuadora,7,180000
44,Medellín,Tienda Premium,Tecnología,Mouse,8,45000
45,Cali,Tienda Norte,Tecnología,Mouse,13,45000
46,Cartagena,Tienda Sur,Deportes,Guantes,2,65000
47,Cali,Tienda Occidente,Tecnología,Impresora,10,600000
48,Cali,Tienda Norte,Tecnología,Mouse,7,45000
49,Cali,Tienda Premium,Hogar,Licuadora,20,180000
50,Cali,Tienda Sur,Deportes,Balón,18,90000
51,Cartagena,Tienda Centro,Tecnología,Teclado,9,85000
52,Cali,Tienda Norte,Deportes,Bicicleta,2,1800000
53,Medellín,Tienda Sur,Deportes,Balón,12,90000
